title,year,rating,plot,summary
Bridget Jones: The Edge of Reason,2004,6.0,"After finding love, Bridget Jones questions if she really has everything she'd ever dreamed of having.","The problem with a sequel is that expectations are high - particularly after a film as successful and engaging as BJ1. I knew already that the new film did not adhere to the second book so I didn't expect to be making comparisons. However, this movie was frankly ridiculous.My problem with the film in main was that the character of Bridget was over-parodied. She is not supposed to be so much fatter than everyone around her, or as scatty and ungainly as she is portrayed in the film, which makes it harder to believe that there are 2 men and a woman after her.The first film's success was due to the protagonist being charming and endearing - she made ""human"" mistakes (for example, the ""blue soup"") and fell for an unsuitable man who cheated on her. We felt sorry for her but also felt that she was funny and kooky and wanted her to ""get her man"" in the end. In this new movie she is frankly annoying, and we are almost incredulous that Mark Darcy should want her at all. They have nothing in common, the reason they break up at the beginning is not believable in any way, and the reasons they reunite are just as difficult to comprehend.I also felt that the characterisations were not as layered as in the first movie, and the stupid lesbian twist didn't seem to make any sense.It is a shame that they were so close yet so far with this new film, because in a way it negates the success and hilarity of the first one, which was a classic, intelligent portrayal of a 30-something singleton looking for her man. BJ2 is just a badly-made slapstick about a fat, unattractive girl who looks a complete mess and doesn't seem to have any self-awareness whatsoever. Sorry to be so harsh, but with the weight of the various names attached to the film, expectations were high......."
Escape Plan,2013,6.7,"When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.","This is a simple plot movie that symbolizes everything about Silvestre and Schwarzenegger glory days. There is no thick plot or real complexities, it's a simple bad guys Vs good guys action flick. However, the movie does not disappoint, its very entertaining and full of action and hard core scenes. The acting is as expected, nothing Oscar worthy but good enough from action legends like them. The idea is simple and is easily understood. The one difference in this movie is that the chemistry between Schwarzenegger and Stallone is excellent and they deliver some humor also. The only downside that I can think about is the fact that this movie is really meant for both the stars fans and not people who are looking for real ideas or excellent cinematography. Bottom line go enjoy the movie and don't forget your popcorn."
Entrapment,1999,6.3,"Insurance investigator Virginia Baker deems that the thief Robert MacDougal has robbed a Rembrandt painting. To retrieve the painting, she poses as an art thief, cooperating with him in criminal acts.","I have this film two chances and liked it much better the second time. I guess I expected more on the first viewing, but why not? Sean Connery usually is good, Catherine Zeta-Jones was a hot, new commodity at the time, and I usually enjoy heist films.This movie had not just one but TWO heists in it, so it should have been really good.....but was fair, at best.It just wasn't that entertaining, too flat in too many spots. Connery looked at times like he was just going through the motions. His usual spark was missing. It's not bad....so-so as a thriller goes, but really not memorable and certainly not as dramatic as it should have been."
The Flintstones in Viva Rock Vegas,2000,3.7,"In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople is pursued by playboy Chip Rockefeller.","I was surprised by this movie.I hated the original, I suppose because none of the cast of the original (except Elizabeth Perkins) resembled the Cartoon cast.I'll probably get stoned alive for saying this, but I didn't like John Goodman's Fred Flintstone. I think he played him awkwardly as though, he didn't really want to be in the movie.But Mark Addy was a lot lot better. OK, he didn't have the voice down to a tee, but he resembles Fred, when made up, a whole lot more than Mr. Goodman.I just wish they would have asked Elizabeth Perkins to re-create her role as Wilma. She did a great job in the original, and resembled and sounded like the cartoon character, where Kristen Johnston, didn't quite do it for me in the role. She looked far too mature to be playing Wilma, and didn't have the voice either.But full marks to Stephen Baldwin and Jane Krakowski as Barney and Betty. They were also a lot better than Rick Moranis and Rosie O'Donnell from the original film. Mostly because, again, they sounded like the cartoon characters and Krakowski resembled Betty. (Baldwin in no way looked like Barney though - oh, well, can't be perfect, but he makes up for it with the voice and laugh).Joan Collins is also hilarious in the film, as the Filthy Rich Mother of Wilma, and again, does a better job that Elizabeth Taylor from the original.Also watch out for Alan Cumming. He almost steals the film with his ""Mike Jagged"" from the Stones, while also playing an alien in a dual role.With great creatures (Jim Henson workshop), good gadgets and an all-round enjoyable film, I give this an 8 out of 10."
The Recruit,2003,6.6,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,"Ironic this movie's made by Spyglass? Or is it? Isn't there ambiguity there as well?Nothing is what it seems.Yes the writers could have gone over their screenplay and given it another one-two and that may have raised the caliber another notch, but this is still good entertainment. It won't change your life, but it will be a well spent couple of hours.And it's true the movie could in theory have had a more sophisticated (ambiguous) ending, but there comes a time, after wading through all the trollop on the market, that one just sinks back and decides to enjoy a better movie for all it's worth.And this is such a movie: directed by the capable Roger Donaldson who directed the taut thriller No Way Out and co-authored by a writer on The Natural, this one keeps going at a brisk pace with excellent editing and super soundtrack from Klaus Badelt of POTC1 fame. Farrell - who actually comes off smaller than life what with all the tripe written about him, and that's not a bad thing - and former fashion model Moynahan make the sparks fly. You feel for the protagonists and that's an essential ingredient of any good movie.But Pacino: he's great at whatever he does but is he fated to have secondary roles now? Bah.There's a bit of a 'Spy Game' feel to things but there's no shameless copying going on. There just aren't many movies in this genre. And Spy Game doesn't have the thrill and suspense this one has. Yes, you might eventually figure everything out before the denouement, but you won't be upset. And odds are you won't figure everything out anyway - some yes; all of it - no.As for that ending: some people would perhaps prefer more ambiguity. On several planes. Others would say the ending is ambiguous enough. At least on one plane, perhaps several.Nothing is what it seems."
Larry Crowne,2011,6.1,"After losing his job, a middle-aged man reinvents himself by going back to college.","This movie was lighthearted and just what I needed to brighten my evening! There was no raunchiness which was very refreshing. Tom Hanks was is usual wonderful self. Julia Roberts' character could have been developed a bit better but overall this movie was hysterical and my grandkids loved it also. Of course, it was a bit far fetched in some parts but then you have a comedy, that's the way you make people laugh!! My daughter let me borrow it for the evening and I wish she had given it to me. I may buy it. Yes, I liked it that well. And even though a comedy, it was very relevant to today's problems facing our nation."
The Chronicles of Riddick,2004,6.6,"The wanted criminal Richard Bruno Riddick arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",It was very refreshing to watch a science fiction movie with a great story and fantastic acting. I enjoyed Vin Diesel's performance as Riddick. He made the movie with his one-liners. Casting was very good. Special effects were incredible. I would give it 9 out of 10 stars. I hope there is a sequel to follow this movie. There appeared to be a time span between Pitch Black and Chronicles of Riddick but they bridged the gap quite well. A prequel to Pitch Black would help to establish who Riddick is and where he came from. This movie definitely took me to a place few science fiction movies do now days. I predict that Riddick will be entertaining us with more movies in the future.
Stuart Little,1999,6.0,"When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.","This movie is really sweet, and I enjoyed it enormously. Sometimes it is a bit overly sentimental, and the human characters aren't as charming as the animal characters. Jonathan Lipnicki was sweet as George, but doesn't quite have the charm he brought to the The Little Vampire. Geena Davis and Hugh Laurie do amiably as the parents, but both seem subdued. Luckily, the human characters don't interfere too much with the animals, and still bring a certain charm to the screen. Stuart is wonderfully voiced by Michael J.Fox, and he joined by a hilarious Nathan Lane as Snowbell and a villainous Chazz Palminteri as Smoky. The script is intelligent and sweet, and there are plenty of charming scenes with Stuart and George. All in all, really sweet, fun and memorable. 8/10 Bethany Cox."
88 Minutes,2007,5.9,"On the day that a serial killer that he helped put away is supposed to be executed, a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live.","This movie uses time to create some urgency and a fairly fast pace to keep interest. These devices are used effectively so that combined with Al Pacino and a decent script we have an interesting thriller.The story is a bit extreme, but the pace really did help me not to question that (too much) in the final analysis. The character played by Al Pacino is unsympathetic even though he harbors a terrible past that haunts him. That changes as everything falls apart around him in just over an hour. His struggle to find a killer that he believes will kill him, as well as others, overshadows his obnoxious ego. Has he met his match? Does he have some moral issues that either way are going to be his downfall? It makes for a pretty interesting plot.This isn't the best psychological thriller...but, it's respectable enough to warrant a solid 6 and that is due to Al Pacino largely."
Wild Wild West,1999,4.9,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.","So much potential and ALL of it wasted!We have:1)  A good director, Barry Sonnenfeld, with two great comedies to his name (""The Addams Family"" and ""Addams Family Values"");2)  An Oscar-winning actor, Kevin Kline, well-known for his comedic work (""A Fish Called Wanda"", ""Soapdish"") as well as dramatic (""Sophie's Choice"", ""The Ice Storm"");3)  Another Oscar nominee, Kenneth Branagh (""Hamlet"", ""Henry V""), famous for directing, as well as writing and actingAND THIS IS THE BEST THEY COULD DO !?!?!?! What gives?First and foremost, it should be noted that just because Will Smith is popular, that doesn't mean he's good.  There's something about him when he acts that makes him appear as more of a ""ham"" than an actor, a scene-stealer who's insecure with being the star of a film so he overacts to conceal (albeit unsuccessfully) the limitations of his acting abilities.And for Kevin Kline and Kenneth Branagh to play second fiddle to HIM?  Absolutely criminal.  What's next?  Jack Nicholson playing a supporting role to Pauly Shore?Then there's the storyline - are we really supposed to believe that James West (as played by Smith, a black man) is a hero of the Civil War?  Of course, the casting of Smith serves primarily as a set-up for all the racial humor (which gets old fast).  Logically, though, it's an asinine premise, a fact which audiences obviously picked up on given the tepid reaction to Smith's so-called ""star power"" in this weak take-off on a really good television series.Who's responsible for this mess? Maybe it's the fault of all the writers (a total of 6) for writing it, or Sonnenfeld's mess for directing it, or Jon Peters' (and Sonnenfeld's) mess for producing it, or Warner Bros.' mess for distributing it?  Whose ever it is, it should just be shelved and forgotten as an embarrassing mistake."
Bedtime Stories,2008,6.0,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,"In 1974, Marty Bronson (Jonathan Pryce) builds the Sunny Vista Motel in Los Angeles, California, with the intention of raising his son Skeeter and his daughter Wendy in the place where he works. However he is not a good businessman and the hotel goes bankruptcy. Marty is forced to sell his motel to Barry Nottingham (Richard Griffiths) that promises to hire Skeeter in a general manager position when he grown up. Years later, Barry builds a new hotel; forgets his promise to Marty; and Skeeter Bronson (Adam Sandler) is only the handyman of his hotel. The general manager is the arrogant Kendall (Guy Pearce), who is engaged with the shallow Barry's daughter Violet Nottingham (Teresa Palmer).When the Webster Elementary School where Wendy (Courteney Cox) is the principal will be closed to be demolished, she needs to travel to Arizona for a job interview. Wendy asks her friend Jill (Keri Russell), who is teacher in the same school, to watch her son Patrick and her daughter Bobbi during the day and Skeeter to watch them during the night. Skeeter meets the estranged kids with his best friend Mickey (Russell Brand) and makes up bedtime stories to help them to sleep but the kids add details to the stories, changing their endings. Soon Skeeter realizes that the plot of the stories are coming true and affecting his life. Meanwhile Barry Nottingham decides to give a change to Skeeter to dispute the manager position in his new hotel with Kendall like in one of his stories. But Skeeter has told to his nephew and his niece that stories do not have happy endings.""Bedtime Stories"" is a family entertainment from the Disney Studios surprisingly good. Adam Sandler is very funny in this fantasy and it is impressive how this actor that is not handsome and actually has a sort of stupid face shines with his charisma. I have seen most of his movies and enjoyed most of them.Based on the Metascore (33/100), I dare to say that fortunately I am not a professional critic. ""Bedtime Stories"" is not a movie to win awards in any film festival but is a delightful fantasy to be appreciated by those that have the concept of family and dreams. It might be very sad to have the absence of these feelings in the heart and give such low rating to this beautiful fantasy. My vote is seven.Title (Brazil): ""Um Faz de Conta que Acontece"" (""A Make Beliefe that Happens"")"
After Earth,2013,4.8,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.","What is going on with M. Night Shyamalan lately? I used to like him in earlier films like Unbreakable and Signs, but he hasn't made the critics and audiences gifted as it would probably if his directing career is in serious jeopardy. One of the biggest and toughest question is that simple: Why is M. Night Shyamalan directing in a new post-apocalyptic adventure starring Will and Jaden Smith? Did he ever asked to direct After Earth or did Sony wanted to choose any director that Smith had previously worked for instead of Shyamalan? For those who don't know, this is the first lowest-rated movie for Will Smith since 1999's disappointing mess ""Wild Wild West,"" one for Jaden since ""The Day the Earth Stood Still,"" and another bomb for Shyamalan.After Earth feels like a re-cut of ""Battlefield Earth"" (Ya know, the Travolta movie we don't even care anymore) and sometimes half-""I Am Legend"" and half-""Hunger Games."" But to me, maybe it's the whole Scientology thing that starts to ruin the whole story.The story is ridiculous, poorly acted (Smith sounded like James Earl Jones), mediocre sci-fi elements. How can this movie be much worse? I wished the late Roger Ebert was here giving a harsh review on ""After Earth."" Bottom Line: It's not going to be a big summer success, but it's another letdown for fans of Will Smith. I'll just pass on the movie instead of renting it on DVD.** 1/2 out of 5 stars"
Torrente 4: Lethal Crisis,2011,5.4,"The rude, lewd and crude Spanish ex-police officer Torrente finds himself facing jail time. Can he survive a twisted irony that places him where he has put so many others, both guilty and innocent?","This is the fourth movie about Spanish private detective Torrente. The main character José Luís Torrente played by Santiago Segura is an absolute anti-hero. He always has a bad luck and gets in to really difficult situations. On top of that he always looks dirty and does disgusting things and has no manners at all. The whole movie is full of dirty jokes, naked breasts, farts and sneezing. Most of the movie cast are Spanish comedians, actors,famous people and even football players or Real Madrid.If you like this type of humour and you know a bit Spanish culture, you have to see it. I laughed out loud in a lot of moments but there were some jokes related to Spanish media or celebrities that I had to ask my friends for explanation.In my opinion Torrente 4 and Torrente 2 are the best of all Torrente movies."
Seven Pounds,2008,7.6,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,"This is the first time I have ever posted. I saw this movie and it made me want to post. IT seems Seven Pounds is getting a lot of negative press and I felt like I need to do my part to let some people know that this movie is SIMPLY BEAUTIFUL! For me, this was a rare movie that stays with you. I found everything about this movie beautiful..the acting, the music, the directing and especially the beautiful story. A story of giving..sacrifice with purpose. I am not the biggest Will Smith fan, but I must say that his performance for me was ASTOUNDING. I felt his pain and was moved by what his character was doing. This is not a easy story to tell in 2hrs and I think they did a really fantastic job. This movie will not be for everyone...it moves slowly and may be confusing..until you figure it out...then the reality of his purpose will crush you emotionally and at the same time it is so beautiful....SWEET PAIN (it did for me anyway)....Seven Pounds is a wonderful movie that will stay with you long into the night and next day.....Thanks"
Bachelorette,2012,5.3,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,"A dark comedy starring three women. That's all the basic information you need to know this was not going to bide well with film snobs, much less the misogynistic ones. Bachelorette is a very humorous and fun movie that I had a great time with. I knew as soon as I got through watching it to come rate it on IMDb though that people would be bashing it, but I had no idea the backlash would be this harsh.The story is simple enough: Four high school friends all get together to relive their glory days as one, the most unattractive (Rebel Wilson), is about to get married. The bridesmaids consist of high-strung Kirsten Dunst, burnout Lizzy Caplan, and dim-witted but lovable Isla Fisher, which in my opinion Isla Fisher absolutely stole the show. I loved it. It is very mean and in your face with it's brutality. You almost wonder why these women are even friends to begin with, but unlike everyone saying there is no reason, the film ties up all it's loose ends and shows how all of the women have their own battle scars and shining personalities in the end.Don't let the comments and rating shy you away from this one, there are some gut-busting scenes. Like I said, Isla Fisher was magnificent. I thoroughly enjoyed and believed in her character, not to say the other stars didn't deliver, she just outshines them!"
Coraline,2009,7.8,"Wandering her rambling old house in her boring new town, a young girl discovers a hidden door to a strangely idealized version of her life that seems too good to be true.","""Coraline"" is simply one of the best animated films ever made: The plots is brilliantly developed, the animation is detailed and beautiful to look at, the characters are fascinating and interesting, and the world created by Neil Gaiman and Henry Selick it's simply captivating, but mysterious and dangerous and well.Clearly influenced by ""Alice in Wonderland"", ""Coraline"" is charming and macabre at the same time: At first ""The Other World"" seems like a dream come true, but there is also a constant sense of danger in the air.Dakota Fanning makes a great work as the main character, and Teri Hatcher is flawless in her role of the Mother (And the Other Mother as well) of Coraline, not to mention the excellent performance of Keith David as the cat.""Coraline"" is one of the best movies of the recent years, and it is the best movie of Henry Selick as director since ""The Nightmare before Christmas."""
Torrente,1998,6.8,"José Luis Torrente, a former policeman fights against the oriental mafia in Madrid.","This was movie of the year in Spain in 1998 following Ulloas success with Airbag the year before. It's about a truly revolting cop in Madrid. He's a sexist,egotistical,dirty pig. There are some memorable scenes in the film and it's quite funny if you don't have any problems with political correctness. It's probably more fun to a Spanish audience who get the jokes about Atlético Madrid fans, ""in"" expressions and other national references. A Spanish viewer can also appreciate all the cameos.  Some of Spain's most renowned actors appear in little parts and add an extra twist to it all. The pace of the movie is fast and there are no dull moments. Go and see it if you can but have a couple of beers before you go."
Prometheus,2012,7.0,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.","Don't get me wrong. It's gorgeous to look at, and I'm definitely going to go and see it again. It's really impressive.But... It's stuffed with scenes without any payoff. Again and again it sets stuff up and then just... walks away from it.In at least one unforgivably stupid scene, someone *literally* just walks away from an antagonist and leaves it there. And then doesn't tell anyone about it. Some of it's really effective. There are some scenes that are absolutely gripping. But so much of it doesn't make any sense...Having said all that I think it's very clear that what I just saw was Prometheus part 1. It's very definitely supposed to have a sequel and I will certainly go to see the sequel. I think both movies taken together might score a 10.But this movie by itself doesn't."
"They Shoot Horses, Don't They?",1969,7.8,The lives of a disparate group of contestants intertwine in a grueling and inhumane dance marathon.,"This is one of the best movies I have ever seen. Set in the 1930s, it revoleved around a group of people entering/running a depression dance marathon. The group entering the contest(The principle characters being Fonda, Sarrazin, York, Buttons, Bedilia, Fields)Can't pass up the seven meals a day, or the top prize of 1500 dollars, no matter how grueling the dance will be. Fonda, is a drifter looking for money, Sarrazin wanders into the contest by accident, York and Fields are an actor and actress hoping to be ""Discovered"", and Buttons is also looking for money. The management of the contest is represented by Young, Lewis, and (To a lesser extent)Conrad. While this is not a ""Pick me up"" movie, it is definitely worth seeing. The cast is excellent, and the movie moves along well. Director Sydney Pollack filmed the movie in sequence, which helps to show the fatigue that the characters are feeling. They Shoot horses was nominated for nine academy awards, inglinging Best actress(Fonda), Best Supporting Actress(York) and Best Director(Pollack).However, only Gig Young walked away with the statuette(For best Supporting Actor) and he deserved every inch of it. Playing against typecasting, he knew he was getting the role of a lifetime and he gives one of the best performance of his career. I actually liked Rocky, with his White Tux and his ""Yowza!Yowza!Yowza!"" I don't know if I would have liked the character if Gig Young had not been in the role.Overall, this movie is definitely worth seeing. If you have a chance, give it a look.10/10 ***** out of *****"
Kick-Ass 2,2013,6.5,"Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders, but Red Mist leads his own group of evil super-villains to get revenge, kill Kick-Ass, and destroy everything he stands for.","Violence,Vulgarity,Humor and Suuperheroes.... What's there not to like? So we have Kick Ass(Aaron) and Hit Girl(Moretz) who had marked the presence of superheroes and started the revolution! Christopher Mintz- Plasse reprises his role and come back as a new super villain and now consolidating a team to take revenge. Hit girl tries to balance her life as a student which is a very realstick approach and I liked it a lot! There is a team of superheroes led by Colonel Stars and Stripes played by Jim Carrey who totally pulled it off! The movie had emotional scenes and intense elements just like previous part! If u liked Kick ass 1 , you will definitely love this fantabulous sequel! Truly , it is a stupendous sequel of a meritorious movie!"
Blue Is the Warmest Colour,2013,7.7,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.","This is a good movie. I liked very much the way in which it describes the birth, maturity and end of a love interest among two young and attractive humans. The scenes in the park and the interplay of sentiments and nuances between the two lovers are very emotional and engaging. The difference of characters is very well presented.The other good point is the sometimes humoristic way in which the down to earth and pragmatic family and social environment of Adele is juxtaposed with the artistic, intellectual and avant guard family and friends of Emma. I think this is the best part of the movie when one compares the realism of Adele with the artistic license of Emma. The scenes where both eat with each others family and the ensuing dialogues are a treat.And now what you are all waiting for: the sex scenes. They are long, hot and explicit. I can not pronounce with conviction whether they served the artistic purposes of the movie or not. If someone wanted to watch the full bloom of a lesbian love story, the scenes may be considered indispensable, if you just wanted to watch a human love story between two people that happen also to have the same sex without caring for so much carnal detail, the scenes could be shorter and more circumspect. The point nevertheless is that those scenes caused a sensation and created a furore and debate from which the movie profited in terms of advertisement. People may now blame or praise it for the wrong reasons.Both actresses where very good in playing their roles. The portrayal by Exarchopoulos of Adele as a teacher in a kinder-garden reading to the children didactic stories with animals or of her abilities as a cook and her insistence that Emma should eat something while Emma is consumed by a telephone call in which she raves about her artistic personality, integrity and vision ignoring Adele and the immediate environment are superb. She is also an actress which made feel empathy for her character. Seydoux is also very credible as the pretentious modernistic and ultimately self-centered Emma. And to conclude with a personal view I liked Adele much more than Emma as a person..."
Elysium,2013,6.6,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",What was up with Jodie Foster's horrible overdubbing? It's like watching a spaghetti western when she speaks!Damon plays the flawed character wonderfully and Copley nails it as the evil agent.
A Good Year,2006,6.9,"A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.","I have to admit this 2006 movie based on the book by Peter Mayle (whose ""A Year in Provence"" is a favorite of mine) starts rather unpromisingly since it carries the same smug, self-satisfied attitude that its hero has. Director Ridley Scott takes a while to find the right rhythm for this romantic comedy, but he eventually does, even if it means recycling elements from other similarly executed fish-out-of-water films like ""Baby Boom"", ""Lost in Translation"" and ""Under the Tuscan Sun"". In fact, the whole venture feels decidedly old-fashioned with formula elements feeling like they come from some Universal film made in the 1960's, but the retro-chic aspect somehow works like a fictionalized account of a lifestyle cable channel program since there is little in the way of real dramatic conflict.Atypically cast in a lighter vein here, the naturally pugnacious Russell Crowe seems to be channeling one of the Grants (Cary or Hugh, take your pick) in portraying a Machiavellian-level London investment banker named Max Skinner, who unexpectedly inherits a dilapidated château and vineyard in Provence from his uncle Henry, a figure he loved as a child but has since become estranged due to Max's selfish, greed-obsessed existence. Written by Marc Klein, the bulk of the movie is about what Max does with the estate as he argues with the longtime vintner and becomes entwined with two women - pretty Christie, who claims to be Henry's illegitimate daughter from a tryst with an American, and the too-perfectly-named Fanny Chanel, a beautiful local restaurateur who tries mightily to resist Max's romantic overtures after a most bumpy start. As Max weighs his options, his unforgiving career and jet-setting lifestyle back in London appear to be in jeopardy.More like a Cagney than a Grant, Crowe has the type of aggressive screen persona that takes on all comers, so he seems more in his element being a jerk. However, he acquits himself more than you would expect as the story begins to humanize his character, and he is more deft as a comic actor than even Scott presumes. For example, there are extended sequences in an empty swimming pool and during a tennis match when Scott seems to mistake action for slapstick. Max may be Crowe's most likable role since the loving gay son he played in the 1994 Australian indie, ""The Sum of Us"". In flashbacks, Freddie Highmore, Johnny Depp's protégé in ""Finding Neverland"" and ""Charlie and the Chocolate Factory"", affectingly plays Max as a child, even though the lack of physical resemblance is a bit jarring. Better is Albert Finney as rhapsodizing Uncle Henry since his casting hearkens back to the actor's youth in south-of-France-set movies like ""Two for the Road"" and ""The Picasso Summer"" in the late sixties.Australian actress Abbie Cornish convincingly portrays a guileless American with more than a passing interest in wine, while Marion Cotillard is a stunning, feisty presence as Fanny (although the obvious age disparity between her and Crowe makes some of the back story a bit of a head scratch). Entertaining though more standard rom-com contributions are made by Tom Hollander as Max's realtor best friend Charlie (in an update of the usual Gig Young third-wheel role), Didier Bourdon and Isabelle Candelier as caretaker Duflot and his playful wife, and Archie Panjabi as Max's jaded but devoted assistant Gemma. The wine-growing region of Provence hardly needs more exposure in movies, but Philippe Le Sourd's cinematography brings it glowingly to life. A most idiosyncratic soundtrack accompanies the film with genre-irrelevant chestnuts like Patti Page's ""Old Cape Cod"", Harry Nilsson's ""Gotta Get Up"" and a French cover of ""Yellow Polka-Dot Bikini"" by Richard Anthony. This is the kind of movie where you can see the ending a mile away, but I have to say for the most part, I enjoyed the ride."
Closer,2004,7.1,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,"What an amazing concept. A story that perfectly captures the emotions that we feel when involved in a love spat. The complete desire and need for another person, wanting to hold them close to you, while at the same point in time the mere vision of seeing that person and hearing their voice sends you into utter misery and you feel repulsed by them. Jude Law is masterful in his role, and he is matched equally by the performances of Clive Owen, Natalie Portman and Julia Roberts. A brilliant movie with many mixed emotions. As soon as you think, okay, this is where they live happily ever after, another twisting tale occurs. This is as real as it gets folks. Definitely one worth purchasing when it hits DVD, apart from that, watch it on big screen and you will be amazed at how you relate to this master piece."
America's Sweethearts,2001,5.7,A publicist tries to cover up a feud between movie stars.,"I had bought the DVD of this movie some years ago for $3, probably as a used disc when Blockbuster was closing their rental stores. But I had not gotten around to watching it, until last night. It has a number of fine actors and as a comedy and parody of the movie-making business it is suitably entertaining.John Cusack as Eddie Thomas and Catherine Zeta-Jones
Gwen Harrison are the power couple, generally referred to as ""America's Sweethearts."" The movie begins with a series of short clips from some of their popular movies where their characters are also lovers.Their latest movie is set for release soon but there is a problem. Eddie and Gwen have split up. While still married she has gone off to live with a hot Latin lover. Eddie has not been able to get over the loss. Now the publicist and fixer (Billy Crystal) has to convince both of them to attend the press junket for the movie's release.The other key role is Julia Roberts as Gwen's sister, Kiki Harrison. It seems Kiki has sacrificed her whole existence to help, and cater to, her famous sister who is very demanding and treats Kiki as a servant. That has to come to an end and it does in a most satisfying way.As he does in most of his roles Christopher Walken is the scene stealer as a temperamental filmmaker. His role is rather short but in total might be the most important one, as the final catalyst for change.My wife and I enjoyed it at home on DVD."
I Love Trouble,1994,5.4,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,"When a train crash happens, veteran newspaperman Peter Brackett is sent from the Tribune to cover the story despite him being a columnist.  At the scene of the crash he meets the beautiful young reporter Sabrina Peterson who he tries to hit on without much success, before dismissing her as an inexperienced youth.  The next morning she scoops him in the Globe, getting an angle on the story that he didn't have.  This sparks a rivalry between the two journalists but, as they find out more about the story they find themselves in mortal danger and are forced to form an uneasy partnership.In case you are film-illiterate, this film has even called a character `Thin Man' to help you realise what it is clearly aspiring to be.  The fast talking, battling characters aspire to be like those in the Thin Man series. However the main problem here is that this film has none of the wit, spark or fun of that series at it's best; instead it is all a bit lifeless and flat.  The plot is good but it doesn't decide to be a mystery thriller until very late in the game; the final set piece is good but, because the film had been aiming for `playful' up till that point, it just doesn't work out well and it can't just suddenly create tension out of nowhere.The rest of the film tries to be light and witty but it doesn't manage it either.  A major fault in this regard is with the script; it doesn't have any really good lines or sequences.  As much as I accept that Woody Allen is not everyone's cup of tea, he would have been the perfect part of a writing team here - witty dialogue in The Thin Man style is really his thing.  The other problem is with the cast.  Nolte and Roberts may both be big names, but they sadly have ZERO chemistry and this is a big problem.  The two have no lines and their lack of spark just makes it worse, to compare this with the Thin Man series does that a great disservice.  The support cast fares a bit better and contains quite a few famous faces such as Rubinek, Rebhorn, Loggia, Dukakis, Levy, Martin Smith and Gleason.  They all do OK but they can't help the failings in the script, atmosphere and in the two stars.Overall this is just about watchable but it's hard to ignore what it clearly intended to be.  It is pretty much a big failure as it fails to amuse, excite or entertain on anywhere near the level that it was aiming for."
Was ik maar groot!,1988,7.3,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.","This movie is great. I mean, really. That's what every boy dreams of - becoming an adult overnight! It's absolutely gorgeous to see Tom Hanks' performance - that's real acting, it requires a lot to play this part as genuinely and cordial as he did. The message is so clear and so honest. The nostalgic edge is of such profound significance to the story. It's about the differences between being a kid and being an adult. It's about two very different perceptions of the same world that surrounds us. It's just us and how we make the best out of every day of our lives, and all it needs is to see the world through the eyes of a kid. A kid perceives all the things differently, with much more native and modest simplicity - the keystone to imagination and magic, the keystone to cherish the daily miracles in our lives. This movie has a deep and very pervasive message. It has so much charm and vitality mingled with nostalgia and witchcraft. One of those movies I enjoyed watching when I was a kid. Recommended."
